instrulife_product_number,name,price
INFUSI78,INFUSIE DIALEX VERLENGLEIDING 100CM 1st,0.64
NAALD002,NAALDEN DELVO 20/10 LL 12st,6.88
MILAEY00,MILA EYE LAVAGE KIT 12G 36INCH,51.43
MILAFO00,MILA FOLEY CATHET 24FRx150cm,46.10
MILAIV01,MILA LINE MAN SUCINGLE 1st,36.53
MILACH12,MILA CHEST TUBE 20FRx38cm,19.37
MILACH13,MILA CHEST TUBE 20FRx55cm,19.37
MILACH10,MILA CHEST TUBE 12FRx38cm,16.35
MILACH11,MILA CHEST TUBE 14FRx38cm,16.35
NAVELS00,NAVELSTRENGKLEM PLASTIEK 1st,0.26
MILAEX00,MILA DOUBLE T EXTENSION SET 1st,4.07
MILAEX01,MILA HIGH FLOW T EXTENSION SET 1st,4.07
MILASH00,MILA SHORT TERM CATH 14Gx7cm 1st,4.07
HONDEN11,HONDENKRAAG SMART COLLAR M4,4.33
CO2ABS00,CO2 ABSORBER SPHERASORB 5 KG,14.27
COLLEC00,URINE COLLECTOR 1st,6.15
MILACE00,MILA CENTISIS VALVE SPIN LL ONLY 1st,8.68
MILANE00,MILA SPINAL NEEDLE 18Gx20cm 1st,8.68
MILAWI00,MILA WINGED INTROCANS 24Gx19mm 1st,1.74
MILAWI01,MILA WINGED INTROCANS 22Gx25mm 1st,1.74
MILAWI02,MILA WINGED INTROCANS 20Gx32mm 1st,1.74
MILAWI03,MILA WINGED INTROCANS 18Gx45mm 1st,1.74
SWANNC01,SWANN MORTON 100 STITCH CUTTER,12.02
SWANNR10,SWANN MORTON ROOD NR 10,12.02
SWANNR11,SWANN MORTON ROOD NR 11,12.02
SWANNR12,SWANN MORTON ROOD NR 12,12.02
SWANNR15,SWANN MORTON ROOD NR 15,12.02
SWANNR20,SWANN MORTON ROOD NR 20,12.02
SWANNR21,SWANN MORTON ROOD NR 21,12.02
SWANNR22,SWANN MORTON ROOD NR 22,12.02
SWANNR23,SWANN MORTON ROOD NR 23,12.02
SWANNR24,SWANN MORTON ROOD NR 24,12.02
MILANE02,MILA SPINAL NEEDLE 20Gx20cm 1st,8.22
NARCOS36,NARCOSE ALDARESORBER,20.23
MILACH01,MILA CHRISTMAS TREE CONNEC 1st,2.91
SWANNR63,SWANN MORTON OOG FIJN NR63 25st,60.18
CENTRI07,CENTRIFUGEERTUBES V URINE 50st,8.53
MILANE03,MILA SPINAL NEEDLE 22Gx15cm 1st,7.13
SWANNB10,SWANN MORTON BLAUW NR 10,10.17
SWANNB11,SWANN MORTON BLAUW NR 11,10.17
SWANNB12,SWANN MORTON BLAUW NR 12,10.17
SWANNB15,SWANN MORTON BLAUW NR 15,10.17
SWANNB20,SWANN MORTON BLAUW NR20,10.17
SWANNB21,SWANN MORTON BLAUW NR21,10.17
SWANNB22,SWANN MORTON BLAUW NR 22,10.17
SWANNB23,SWANN MORTON BLAUW NR 23,10.17
SWANNB24,SWANN MORTON BLAUW NR 24,10.17
SWANNR15C,SWANN MORTON ROOD NR 15C,10.17
SWANNR64,SWANN MORTON OOG FIJN NR 64 25st,26.26
SWANNR65,SWANN MORTON OGEN NR 65,26.26
SWANNR65A,SWANN MORTON OGEN NR 65A,26.26
MILASP03,MILA 10ML WINGED SYRINGE,1.18
MILACO00,MILA CONTROLLED FLUSH SET,12.87
MILAES02,MILA ESOP FEEDING TUBE SMALL ANIMAL18FR,20.10
MILAOO05,OOCYTE STOPPER ASSEMBLY,20.10
MILATO01,MILA TOMCAT 5FRx25cm+STYLET 1st,13.56
MILANE04,MILA SPINAL NEEDLE 18Gx15cm 1st,6.29
MILADR00,MILA DRAIN WITH INTRODUCER 8FR,10.96
MILADR01,MILA DRAIN WITH INTRODUCER 10FR,10.96
MILASP01,MILA BALLOON INFUSOR 30 ML,19.66
MILACA01,MILA CATHET -OVER NEEDLE 14Gx13cm 1st,9.71
MILACA02,MILA CATHET -OVER NEEDLE 12Gx13cm 1st,9.71
MILACA12,MILA CATHET OVER NEEDLE 16Gx13cm 1st,9.71
MILANA02,MILA NASO FEEDING TUBE 14FRx125cm,26.35
MILATR00,MILA TRANS-TRACH WASH KIT 16GAx70cm,20.87
MILATR01,MILA TRANS-TRACH WASH KIT 12GAx70cm,20.87
MILACA00,MILA CATHET KIT GW 14Gx20cm 1st,34.22
MILACA03,MILA CATHET-OVER NEEDLE 18Gx6.25cm 1ST,9.04
MILACA04,MILA CATHET-OVER NEEDLE 14Gx9cm 1ST,9.04
MILACA06,MILA CATHET-OVER NEEDLE 16Gx7.5cm 1st,9.04
MILACE01,MILA CENTISIS VALVE L 12.5cm 1st,11.50
MILAFE00,MILA FEMALE LUER LOCK CONNECTOR 10st,29.04
MILAGR00,MILA GRENADES 200CC SUCTION BULB,13.29
MILALO00,MILA LONGLINE KIT 19Gx45cm,16.16
MILAMA00,MILA MALE LUER LOCK CONNECTOR 10st,29.04
MILANA00,MILA NASO FEEDING TUBE 6FRx55cm,13.71
MILANA01,MILA NASO FEEDING TUBE 10FRx90cm,13.71
MILAOO06,OOCYTE COLLECTION NEEDLE 16Gx62.5cm,38.35
MILASH02,MILA SHORT TERM CATHET 12Gx13cm 1st,8.53
MILASK02,MILA 30 PACK ACCESSING NEEDLES,29.62
MILATO00,MILA TOMCAT 3.5FRx15cm +STYLET,11.43
MILACA10,MILA PICC CATHET KIT 16Gx60cm SINGLE,50.04
MILACL00,MILA CLEAR CUFF INFUSOR 1000ml,41.56
MILAEZ00,MILA EZIO NEEDLE SET 15Gx1.5cm,88.66
